,AES_predictions,Alliant_Energy_Corp_predictions,Ameren_Corp_predictions,American_Electric_Power_predictions,American_Water_Works_Company_predictions,CMS_Energy_predictions,Consolidated_Edison_predictions,DTE_Energy_predictions,Duke_Energy_predictions,Dominion_Energy_predictions,Edison_Int_predictions,Entergy_predictions,Evergy_predictions,Eversource_Energy_predictions,Exelon_predictions,FirstEnergy_predictions,NextEra_Energy_predictions,NiSource_predictions,NRG_Energy_predictions,Pinnacle_West_Capital_predictions,PPL_Corp_predictions,Public_Serv_Enterprise_predictions,Southern_predictions,Sempra_Energy_predictions,Wec_Energy_Group_predictions,Xcel_Energy_predictions
45,[12.15342198],[37.51079249],[51.90779248],[62.68884339],[74.18150843],[41.55144279],[73.29762306],[98.99101861],[77.35683429],[75.93493404],[71.19249583],[72.72342644],[68.54338102],[54.53040106],[35.43648058],[31.52899429],[119.13060157],[22.09146976],[12.72162454],[78.21896547],[34.20451636],[43.31276862],[49.14636055],[103.91469094],[58.38238881],[40.70796292]
46,[11.93172041],[36.62459396],[50.66479595],[61.71838946],[72.10819883],[40.83518646],[71.13118565],[96.90798826],[75.55138022],[74.23586516],[69.6145956],[71.68926625],[66.06068986],[53.02525327],[35.18702123],[31.3297401],[116.02719813],[21.64763331],[12.4373398],[75.96930551],[33.77983046],[42.76631659],[48.42252649],[100.51594083],[56.95097572],[40.04147895]
47,[11.78688547],[36.98596498],[51.18838476],[62.12263046],[72.0187473],[40.94948978],[71.84979207],[96.95343107],[76.1507294],[74.60583932],[70.35341698],[72.42307227],[65.96313033],[53.77397054],[35.66980609],[31.300793],[117.14170995],[21.99736325],[12.527344],[75.9385903],[34.14038596],[42.9440813],[48.50836354],[100.832846],[57.23431578],[40.25907372]
48,[11.74558743],[37.54643148],[51.69102666],[62.82087811],[73.09696778],[41.54801481],[72.73507243],[98.28809448],[76.60029701],[75.71960175],[71.71174731],[73.18940997],[65.93587429],[54.61832763],[35.78201079],[31.760468],[118.84650552],[22.02267076],[12.29452537],[76.70083194],[34.63144781],[43.94739497],[48.97418534],[102.29370415],[58.05246733],[40.71961363]
49,[11.82959201],[37.78588277],[51.90041904],[62.95941345],[73.3335245],[41.88664059],[73.1025649],[98.25480777],[77.19171221],[76.47202327],[71.54768038],[73.19116294],[65.29321765],[55.04238776],[35.73689954],[31.70405901],[119.30480166],[22.31424935],[12.82109199],[77.18094747],[34.57590172],[43.73017181],[49.11155488],[103.65370931],[58.19991972],[40.7718733]
50,[11.95304866],[37.80370953],[52.10574489],[63.18585026],[73.03817178],[41.68356645],[73.3632771],[98.51828558],[77.19985248],[76.54743969],[72.01587513],[73.21445352],[65.10217216],[55.17506925],[35.4777754],[31.27938513],[119.24066104],[22.19831819],[12.52185039],[77.1010256],[34.50396231],[43.73117729],[49.16033865],[102.86504842],[58.35425634],[40.9357102]
51,[11.98204304],[37.67317161],[51.96822528],[62.83266388],[72.83666973],[41.5767944],[73.10335683],[98.20698246],[77.04403363],[76.2690513],[71.81464317],[72.96454481],[65.71108779],[54.9210777],[35.16544904],[31.4007548],[118.59913481],[22.32099825],[12.30729564],[77.07509141],[34.43349119],[43.60546069],[49.22601001],[101.78318057],[58.47557705],[40.91744284]
52,[11.78361397],[37.78983735],[52.45430076],[63.26175199],[72.58065098],[41.63752842],[73.56492786],[98.67250344],[77.80628864],[76.61836337],[72.28652162],[73.22028472],[64.97836049],[55.48041614],[35.33401893],[31.27715035],[119.00073605],[22.4228827],[12.10685648],[77.65195716],[34.46192402],[43.72941675],[49.38320451],[102.22811835],[58.78957335],[40.71515395]
53,[11.71694489],[37.83793976],[52.48046241],[63.19414336],[73.0275627],[41.7360195],[73.64099118],[98.75929755],[77.64893058],[76.73406545],[71.91682018],[72.90892475],[65.36719842],[55.46616814],[35.33348469],[31.2605365],[119.26703365],[22.28832381],[12.30048816],[77.69174003],[34.29973949],[43.68860888],[49.33568912],[101.79697158],[58.75073537],[40.70040127]
54,[11.84922149],[37.98829084],[52.57588394],[63.15849454],[73.13513477],[41.70139715],[73.79309666],[98.70400682],[77.52200205],[76.70130907],[72.01874256],[73.02082803],[65.85124032],[55.38541905],[35.37992019],[31.25607178],[119.30747713],[22.21576428],[12.62246878],[77.88593139],[34.21790062],[43.81440383],[49.31436073],[101.29257101],[58.61752193],[40.76509678]
