,Conagra_Brands_predictions,Kimberly_Clark_predictions,MetLife_predictions,Raymond_James_Financial_predictions,Flowserve_Corporation_predictions,TripAdvisor_predictions,TwentyFirst_Century_Fox_A_predictions,TwentyFirst_Century_Fox_B_predictions,Verizon_Communications_predictions,Viacom_predictions,The_Walt_Disney_predictions
113,[40.38429862],[132.96413334],[52.08545322],[74.7616366],[46.05888576],[42.50861574],[31.32047784],[30.73368947],[49.65792604],[42.90978709],[112.25890412]
114,[40.49510136],[132.5291359],[52.01382456],[74.84870863],[45.68678498],[42.67540029],[31.5266129],[30.88051184],[49.6881853],[43.03304812],[112.15672237]
115,[40.15856771],[132.43857869],[51.72460782],[73.88677517],[46.99829229],[42.55596878],[31.89100388],[31.22848879],[49.14397635],[44.33312013],[112.48639346]
116,[40.2106578],[132.71169468],[52.50809844],[75.07694589],[47.15600807],[43.06436366],[32.41565605],[31.77448563],[49.27945816],[44.81349248],[113.0795796]
117,[40.61322374],[132.62042798],[52.15527639],[74.96502332],[47.41938546],[43.67025948],[32.09531753],[31.50513174],[49.13796639],[45.26436796],[112.55753093]
118,[40.27436695],[132.25385821],[53.14385173],[76.18770436],[47.88214301],[43.27331764],[32.35800316],[31.66927754],[49.07152393],[46.33268161],[113.22819195]
119,[40.32709273],[131.64346528],[52.82293742],[76.33162417],[48.3560192],[43.09436139],[32.34961973],[31.72353786],[48.72013946],[46.50781036],[113.40025035]
120,[40.37560757],[131.56924062],[52.35364106],[76.29603004],[48.08388146],[42.73075677],[32.14894814],[31.57674831],[49.19667659],[45.59786161],[113.21118214]
121,[40.23809215],[132.25528262],[52.33079453],[75.93676343],[47.70960471],[41.59190678],[31.75226985],[31.22632515],[49.31793393],[45.5033306],[113.09388607]
122,[40.40552212],[131.77883107],[51.85074053],[74.47632926],[47.57754797],[41.68234174],[31.36655843],[30.82636146],[49.0121042],[45.21210646],[112.9958489]
123,[40.4902662],[131.12068045],[52.7015698],[75.59711354],[48.81216396],[42.27252205],[31.1146517],[30.55233403],[48.38983503],[45.5742198],[113.09737236]
124,[40.48364139],[131.30465044],[52.6218133],[75.84759775],[48.65313449],[42.01596236],[31.07578028],[30.54644983],[48.68111127],[45.20061542],[112.64477371]
125,[40.56691934],[132.01726253],[52.79386401],[75.47696136],[49.21570819],[42.13864254],[31.25023885],[30.60837259],[48.5678474],[44.78304005],[112.49263213]
126,[40.50825398],[132.67309468],[52.78318437],[74.78676469],[49.03216727],[41.39301357],[31.1594245],[30.489057],[48.6983743],[44.74528452],[113.1387943]
127,[40.62770607],[133.09183087],[51.91790063],[73.70792182],[47.59778301],[41.46255467],[30.65853576],[30.15601297],[48.8953326],[44.25536114],[113.10689421]
128,[40.33015742],[132.68521727],[51.0985382],[72.58403844],[46.84752135],[41.30502345],[30.42384479],[29.86040804],[48.62621779],[43.72144238],[113.28433023]
129,[40.47704029],[133.36815002],[51.9172702],[73.69948865],[47.90994294],[41.74461474],[30.71190143],[30.14182479],[48.7944736],[43.94320414],[113.8203229]
130,[40.80848062],[133.95333337],[51.17119546],[73.13472687],[47.79832732],[41.90233634],[30.6612361],[30.04832151],[49.23493359],[44.03434501],[114.19565205]
131,[40.47157016],[133.28878324],[51.18863289],[72.91436226],[48.17321436],[41.9897018],[30.41184638],[29.84474285],[48.95207263],[44.29397924],[113.75727597]
132,[40.70982358],[131.21614273],[51.82573153],[74.16185866],[49.12197555],[42.66571577],[31.06274925],[30.51580693],[48.3724124],[44.27545418],[114.81445647]
133,[40.6796078],[129.98733473],[51.22416375],[73.25852164],[48.6135806],[42.63220129],[30.67360196],[30.19861478],[47.22942366],[42.96978516],[114.42602139]
134,[40.93410806],[130.49876042],[52.06260571],[75.13810833],[49.31521509],[43.30940192],[30.37905402],[29.80979602],[47.07643642],[42.7280614],[113.71689276]
135,[39.33651186],[132.90846877],[52.37219821],[75.23339432],[50.51411836],[43.62065535],[30.58526223],[29.84862225],[46.72227485],[42.88919582],[115.22526539]
136,[39.08773717],[130.20315552],[51.85391445],[75.83154813],[51.17619285],[44.50350562],[30.71169747],[30.01171244],[47.38434279],[43.37023196],[115.57672723]
137,[38.95079157],[129.90215973],[52.16061273],[74.93730223],[50.69958011],[45.07343008],[30.58086922],[29.95921321],[46.62770425],[43.26589151],[115.93464481]
138,[38.84589112],[129.68856797],[51.76887286],[74.47610966],[50.69795619],[45.02897641],[30.54343196],[29.87157346],[45.86835673],[42.47429535],[115.62816201]
139,[38.28480508],[129.8726047],[51.96213061],[74.91162055],[49.46068629],[44.91398814],[30.36856525],[29.67504585],[45.85547632],[42.56921927],[114.63933356]
140,[37.97929261],[126.70618912],[52.03454657],[75.86551105],[49.94472924],[46.10840619],[30.42701432],[29.84075399],[45.9773651],[42.37169001],[114.38180173]
