,Air_Products_Chemicals_predictions,Albemarle_Corp_predictions,Avery_Dennison_predictions,Ball_predictions,Celanese_predictions,CF_Industries_Holdings_predictions,Eastman_Chemical_predictions,Ecolab_predictions,FMC_Corporation_predictions,Freeport_McMoRan_predictions,International_Paper_predictions,LyondellBasell_predictions,Martin_Marietta_Materials_predictions,The_Mosaic_Company_predictions,Newmont_Mining_Corporation_predictions,Nucor_predictions,Packaging_Corporation_of_America_predictions,Sealed_Air_predictions,Sherwin_Williams_predictions,Vulcan_Materials_predictions
298,[162.61090801],[132.36068462],[117.12759439],[38.27546314],[108.13937593],[41.01539932],[92.38402729],[135.08352986],[94.45033273],[17.29623128],[57.86680519],[108.99639347],[203.89464629],[24.48796898],[36.34723499],[62.53524359],[118.93047827],[49.69265399],[412.0690373],[119.28333866]
299,[163.01719119],[131.52737716],[116.6157166],[37.99366555],[107.68417736],[40.68069406],[93.1464152],[134.17720161],[94.96685075],[17.64068608],[57.84110338],[109.79327245],[204.90414299],[24.46140513],[36.65088423],[63.97442439],[119.65893802],[48.5977777],[414.33854309],[119.28907678]
300,[163.2059347],[128.42426348],[114.22834312],[37.60540016],[106.40172067],[41.0695134],[92.94106151],[133.63725974],[95.18999727],[18.16762857],[57.44297079],[110.13891564],[210.38519491],[25.2448985],[36.74716331],[64.54368716],[120.24664698],[48.7393582],[411.89723775],[122.82367153]
301,[163.41741278],[129.21026473],[114.32167047],[37.97632653],[106.68865098],[41.5303287],[92.61447872],[134.03726227],[95.50365536],[18.07929464],[57.97066352],[109.88344713],[211.09791175],[25.48482096],[36.91630535],[64.57417392],[120.13301658],[49.0279786],[413.305397],[123.95851905]
302,[163.04124574],[129.03767915],[114.95167896],[37.58645334],[106.51852285],[42.67278287],[92.94682911],[133.7628377],[95.56185503],[18.67420238],[57.52790482],[109.91317065],[217.75081495],[25.45798601],[37.54973645],[64.72725954],[120.15733209],[49.19558329],[411.61510613],[126.68673794]
303,[163.72171397],[128.69931408],[115.32797627],[37.55967191],[107.02703947],[42.87102802],[92.53363538],[134.11697082],[94.80614812],[18.66888218],[57.67906775],[110.03511305],[217.81456985],[25.48384181],[37.58820486],[64.57427885],[120.61182126],[49.20438491],[410.68132482],[127.39929233]
304,[164.64905328],[128.59254409],[115.49958398],[37.90869869],[108.27381334],[42.40858879],[93.42104347],[134.56070006],[95.05624425],[19.27046646],[57.79169401],[111.21032956],[217.52547992],[25.54492643],[37.5580873],[64.33412349],[121.00519811],[49.44217835],[413.04643878],[127.54844088]
305,[164.14745846],[127.90663161],[114.88829201],[37.82086359],[107.09655966],[42.37246132],[92.68025196],[134.18055971],[94.65987401],[18.9333111],[58.00183302],[110.34282185],[220.92999721],[25.6389887],[37.57108703],[63.58173331],[120.60158104],[49.32958346],[410.44994302],[128.40272065]
306,[165.61576857],[131.69667851],[115.76757149],[38.61445313],[106.7914092],[42.97429019],[94.24410523],[134.52053239],[95.78154697],[19.76534089],[59.70030918],[112.21809774],[224.91776891],[26.67283299],[38.14233442],[66.4566873],[123.54786956],[49.44270771],[413.86239361],[131.77788837]
307,[166.41170386],[131.88861425],[116.01991268],[38.49881721],[107.19445152],[42.94917079],[95.35994059],[135.36814538],[96.96870067],[19.45580121],[60.58833484],[112.26352696],[227.56624248],[26.34097044],[37.83192485],[67.46606749],[126.09889154],[49.45664438],[415.28459241],[134.09829125]
308,[167.13564411],[130.45238479],[116.87046224],[38.33406395],[107.37797373],[43.4182614],[96.53638168],[136.39505408],[97.44844934],[19.70553351],[61.56227847],[112.74323396],[227.9497946],[26.81911121],[38.29016869],[67.37728641],[128.05795645],[49.59419065],[413.6749948],[133.33841419]
309,[168.54957637],[131.6317878],[118.07006551],[38.57916451],[108.3043522],[43.48665355],[97.1477228],[137.10981469],[98.12191803],[19.89924861],[61.58770154],[114.3346336],[227.28262185],[26.85298988],[38.4019106],[67.86763269],[128.3969937],[49.43719347],[421.33330295],[132.07982733]
310,[168.64647252],[137.37248655],[118.59700948],[38.58560219],[108.73527398],[42.51080206],[97.44759701],[136.67632039],[98.19841487],[19.76946516],[62.12349336],[114.04746366],[230.31317415],[26.22636669],[38.37344603],[68.15660884],[129.58902667],[49.6528093],[423.96059932],[134.04035493]
311,[169.13166462],[135.59726029],[118.90654616],[38.48879817],[108.51076386],[42.29892907],[97.24995335],[136.67357687],[98.16768053],[18.84851788],[61.47340373],[115.08210938],[227.97532558],[26.11248244],[38.16322868],[67.80617842],[128.02997782],[49.01381179],[424.75848823],[134.04426109]
312,[168.36267248],[133.29435342],[118.59283887],[37.85054482],[108.16456755],[42.24436477],[97.21914925],[135.23384508],[97.53670202],[19.47693571],[61.62550373],[114.97630344],[226.90342793],[25.89155625],[38.36531329],[68.93775508],[128.00262408],[48.73266227],[419.76684678],[132.50602399]
313,[170.00553169],[134.40067797],[119.66273286],[38.37106021],[111.34916881],[43.5526243],[97.48286568],[137.02021454],[97.93684175],[19.91071521],[62.21343917],[117.67260464],[229.70242016],[27.10139834],[38.80517439],[70.17492824],[129.34813976],[48.63263073],[425.42126956],[135.34807749]
314,[170.16972443],[133.22442217],[119.38210145],[37.87835928],[111.34775121],[43.306668],[97.44603236],[137.70700314],[97.8844642],[19.75763215],[62.35325819],[117.66290188],[230.83608316],[27.16435394],[39.71953355],[69.11982783],[128.51786745],[48.8751522],[432.53342415],[133.87251245]
315,[166.83305037],[128.34272892],[117.54443017],[38.38328454],[109.68495562],[40.45786249],[96.84697424],[136.94625845],[94.91830456],[19.29318585],[61.22841936],[115.75118905],[226.37033958],[25.56279956],[39.97402991],[68.97912368],[125.85530879],[48.46180894],[424.78046501],[133.84302272]
316,[168.64335709],[127.11967068],[118.94011818],[39.01804369],[110.69504304],[39.41037348],[96.85687199],[137.48794894],[93.94561775],[19.73263244],[61.42438473],[116.80755376],[227.27384905],[25.60249733],[39.53840775],[69.16921227],[126.74965147],[48.52598123],[427.15222047],[134.70131932]
317,[166.75437536],[117.33799479],[120.63643927],[38.75372538],[111.11898302],[39.93880576],[96.83251516],[138.33300164],[90.05721832],[19.36798048],[62.64646373],[116.95028059],[226.60217347],[26.25648995],[39.35377507],[68.82094454],[126.37598554],[48.71026828],[430.35588774],[135.11429063]
